timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666259422011,2449,HTTP Request L1,200,OK,Thread Group 1-1,bin,true,,9437477,126,5,5,http://192.168.56.101/large1.jpg,91,0,2
1666259423645,897,HTTP Request L1,200,OK,Thread Group 1-4,bin,true,,9437477,126,5,5,http://192.168.56.101/large1.jpg,4,0,2
1666259422556,2024,HTTP Request L1,200,OK,Thread Group 1-2,bin,true,,9437477,126,5,5,http://192.168.56.101/large1.jpg,5,0,3
1666259424542,1791,HTTP Request L2,200,OK,Thread Group 1-4,bin,true,,7340324,126,8,8,http://192.168.56.101/large2.jpg,87,0,0
1666259424580,1952,HTTP Request L2,200,OK,Thread Group 1-2,bin,true,,7340324,126,9,9,http://192.168.56.101/large2.jpg,29,0,0
1666259424460,2131,HTTP Request L2,200,OK,Thread Group 1-1,bin,true,,7340324,126,9,9,http://192.168.56.101/large2.jpg,35,0,0
1666259426333,1370,HTTP Request L3,200,OK,Thread Group 1-4,bin,true,,7340324,126,11,11,http://192.168.56.101/large3.jpg,51,0,0
1666259424191,3668,HTTP Request L1,200,OK,Thread Group 1-5,bin,true,,9437477,126,11,11,http://192.168.56.101/large1.jpg,13,0,3
1666259426532,1590,HTTP Request L3,200,OK,Thread Group 1-2,bin,true,,7340324,126,12,12,http://192.168.56.101/large3.jpg,27,0,0
1666259424736,3421,HTTP Request L1,200,OK,Thread Group 1-6,bin,true,,9437477,126,12,12,http://192.168.56.101/large1.jpg,4,0,1
1666259425281,3032,HTTP Request L1,200,OK,Thread Group 1-7,bin,true,,9437477,126,12,12,http://192.168.56.101/large1.jpg,27,0,5
1666259426591,1772,HTTP Request L3,200,OK,Thread Group 1-1,bin,true,,7340324,126,12,12,http://192.168.56.101/large3.jpg,42,0,0
1666259425825,2669,HTTP Request L1,200,OK,Thread Group 1-8,bin,true,,9437477,126,12,12,http://192.168.56.101/large1.jpg,47,0,25
1666259427703,1076,HTTP Request M1,200,OK,Thread Group 1-4,bin,true,,4194596,127,13,13,http://192.168.56.101/medium1.jpg,72,0,0
1666259428122,1372,HTTP Request M1,200,OK,Thread Group 1-2,bin,true,,4194596,127,14,14,http://192.168.56.101/medium1.jpg,42,0,0
1666259428363,1461,HTTP Request M1,200,OK,Thread Group 1-1,bin,true,,4194596,127,15,15,http://192.168.56.101/medium1.jpg,15,0,0
1666259423101,6750,HTTP Request L1,200,OK,Thread Group 1-3,bin,true,,9437477,126,15,15,http://192.168.56.101/large1.jpg,7,0,3
1666259428779,1156,HTTP Request M2,200,OK,Thread Group 1-4,bin,true,,3146020,127,15,15,http://192.168.56.101/medium2.jpg,72,0,0
1666259429494,1220,HTTP Request M2,200,OK,Thread Group 1-2,bin,true,,3146020,127,16,16,http://192.168.56.101/medium2.jpg,24,0,0
1666259429935,801,HTTP Request M3,200,OK,Thread Group 1-4,bin,true,,2097444,127,17,17,http://192.168.56.101/medium3.jpg,125,0,0
1666259430736,223,HTTP Request S1,200,OK,Thread Group 1-4,bin,true,,614690,126,17,17,http://192.168.56.101/small1.jpg,75,0,0
1666259429824,1206,HTTP Request M2,200,OK,Thread Group 1-1,bin,true,,3146020,127,17,17,http://192.168.56.101/medium2.jpg,39,0,0
1666259431029,406,HTTP Request S2,200,OK,Thread Group 1-4,bin,true,,614690,126,18,18,http://192.168.56.101/small2.jpg,153,0,0
1666259430714,833,HTTP Request M3,200,OK,Thread Group 1-2,bin,true,,2097444,127,18,18,http://192.168.56.101/medium3.jpg,40,0,0
1666259431436,376,HTTP Request S3,200,OK,Thread Group 1-4,bin,true,,512290,126,18,18,http://192.168.56.101/small3.jpg,140,0,0
1666259431547,441,HTTP Request S1,200,OK,Thread Group 1-2,bin,true,,614690,126,19,19,http://192.168.56.101/small1.jpg,37,0,0
1666259431030,1324,HTTP Request M3,200,OK,Thread Group 1-1,bin,true,,2097444,127,19,19,http://192.168.56.101/medium3.jpg,133,0,0
1666259431988,402,HTTP Request S2,200,OK,Thread Group 1-2,bin,true,,614690,126,20,20,http://192.168.56.101/small2.jpg,57,0,0
1666259428313,4167,HTTP Request L2,200,OK,Thread Group 1-7,bin,true,,7340324,126,20,20,http://192.168.56.101/large2.jpg,38,0,0
1666259427859,4861,HTTP Request L2,200,OK,Thread Group 1-5,bin,true,,7340324,126,20,20,http://192.168.56.101/large2.jpg,12,0,0
1666259432390,333,HTTP Request S3,200,OK,Thread Group 1-2,bin,true,,512290,126,20,20,http://192.168.56.101/small3.jpg,39,0,0
1666259428494,4270,HTTP Request L2,200,OK,Thread Group 1-8,bin,true,,7340324,126,20,20,http://192.168.56.101/large2.jpg,39,0,0
1666259432354,431,HTTP Request S1,200,OK,Thread Group 1-1,bin,true,,614690,126,20,20,http://192.168.56.101/small1.jpg,74,0,0
1666259432785,362,HTTP Request S2,200,OK,Thread Group 1-1,bin,true,,614690,126,21,21,http://192.168.56.101/small2.jpg,98,0,0
1666259433147,403,HTTP Request S3,200,OK,Thread Group 1-1,bin,true,,512290,126,22,22,http://192.168.56.101/small3.jpg,100,0,0
1666259428157,5408,HTTP Request L2,200,OK,Thread Group 1-6,bin,true,,7340324,126,22,22,http://192.168.56.101/large2.jpg,30,0,0
1666259426374,7453,HTTP Request L1,200,OK,Thread Group 1-9,bin,true,,9437477,126,22,22,http://192.168.56.101/large1.jpg,127,0,18
1666259431812,2165,HTTP Request L1,200,OK,Thread Group 1-4,bin,true,,9437476,126,22,22,http://192.168.56.101/large1.jpg,100,0,0
1666259429641,5522,HTTP Request L1,200,OK,Thread Group 1-15,bin,true,,9437477,126,25,25,http://192.168.56.101/large1.jpg,74,0,29
1666259433978,1435,HTTP Request L2,200,OK,Thread Group 1-4,bin,true,,7340324,126,25,25,http://192.168.56.101/large2.jpg,38,0,0
1666259435414,2002,HTTP Request L3,200,OK,Thread Group 1-4,bin,true,,7340324,126,29,29,http://192.168.56.101/large3.jpg,52,0,0
1666259437416,1155,HTTP Request M1,200,OK,Thread Group 1-4,bin,true,,4194596,127,31,31,http://192.168.56.101/medium1.jpg,87,0,0
1666259432734,5989,HTTP Request L1,200,OK,Thread Group 1-2,bin,true,,9437476,126,31,31,http://192.168.56.101/large1.jpg,65,0,0
1666259428005,11462,HTTP Request L1,200,OK,Thread Group 1-12,bin,true,,9437477,126,33,33,http://192.168.56.101/large1.jpg,59,0,22
1666259438571,945,HTTP Request M2,200,OK,Thread Group 1-4,bin,true,,3146020,127,33,33,http://192.168.56.101/medium2.jpg,135,0,0
1666259432764,6925,HTTP Request L3,200,OK,Thread Group 1-8,bin,true,,7340324,126,33,33,http://192.168.56.101/large3.jpg,36,0,0
1666259432480,7214,HTTP Request L3,200,OK,Thread Group 1-7,bin,true,,7340324,126,33,33,http://192.168.56.101/large3.jpg,85,0,0
1666259439516,637,HTTP Request M3,200,OK,Thread Group 1-4,bin,true,,2097444,127,34,34,http://192.168.56.101/medium3.jpg,114,0,0
1666259440154,331,HTTP Request S1,200,OK,Thread Group 1-4,bin,true,,614690,126,34,34,http://192.168.56.101/small1.jpg,123,0,0
1666259433550,7398,HTTP Request L1,200,OK,Thread Group 1-1,bin,true,,9437476,126,35,35,http://192.168.56.101/large1.jpg,48,0,0
