'VmPeak';'VmSize';'VmHWM';'VmRSS';'VmPTE';'Threads';'Buffers';'Cached';'Active';'Inactive';'Dirty';'Writeback';'Mapped';'Slab';'PageTables';'Committed_AS';'NumOfAllocFH';'proc-fd';'avgThroughput';'avgElapsed'
144012;126424;14224;14224;108;9;29064;334600;0;131152;300072;5621452;156;0;67408;22840;26160;6968;268820;510
152272;150216;24508;23708;160;9;29144;334640;0;139780;299928;5610188;40;0;76172;23700;27792;7192;293700;510
152272;150216;24628;24588;160;15;29240;334640;0;140764;300020;5609652;144;0;76608;23708;27996;7188;293336;510
152272;150216;24628;24500;160;35;29336;334640;0;140624;300116;5610232;176;0;76608;23708;27996;7196;293336;510
152272;150216;24628;24580;160;29;29432;334640;0;140704;300212;5610032;20;0;76792;23708;27948;7196;295484;1020
152272;150216;24628;24500;160;29;29528;334640;0;140624;300308;5609896;44;0;76624;23708;27812;7192;297620;1020
152272;150216;24628;24592;160;30;29632;334640;0;140720;300412;5609648;24;0;76840;23708;27760;7196;295528;1530
152272;150216;24628;24540;160;24;29728;334640;0;140668;300508;5609812;48;0;76828;23708;27816;7196;295528;1530
152272;150216;24628;24524;160;24;29824;334640;0;140656;300604;5609688;12;0;76624;23708;27792;7196;295356;1020
152272;150216;24628;24572;160;17;29920;334640;0;140700;300696;5609380;172;0;76620;23708;27920;7192;295288;1020
152272;150216;24628;24576;160;10;30020;334636;0;140700;300792;5609436;132;0;76736;23708;27800;7192;297204;1530
152272;150216;24628;23824;160;9;30116;334640;0;140020;300828;5609824;56;0;76076;23772;27776;7196;297208;1020
152272;150216;24628;24576;160;62;30212;334640;0;140776;300924;5609152;24;0;76676;23772;27720;7196;294880;1020
152272;150216;24696;24420;160;54;30308;334640;0;140620;301012;5609324;56;0;76520;23772;27768;7192;296852;1020
152272;150216;24696;24492;160;35;30404;334632;0;140684;301116;5608864;20;0;76628;23772;27788;7196;298936;1020
152272;150216;24696;24568;160;18;30500;334640;0;140768;301212;5609256;36;0;76604;23772;27864;7196;294464;1530
152272;150216;24696;23824;160;9;30596;334640;0;140024;301308;5609576;140;0;76080;23772;27788;7196;294504;2040
152272;150216;24696;23824;160;9;30700;334640;0;140024;301412;5608956;172;0;75984;23772;27812;7196;294504;1530
