Principale1;Principale2;Principale3;Principale4;Principale5;Principale6;Principale7
-17,71250582;8,276706184;-6,073879835;-0,151787159;-3,609696636;0,910962022;-0,033210255
-13,22050592;11,47760397;-3,29662345;-0,131609247;-2,088677905;-0,26975953;-0,653543031
-13,12757073;11,51703328;-3,311582823;-0,128026283;-2,107409623;-0,255146617;-0,559212514
-13,01023568;11,61624887;-3,312798083;-0,115066789;-2,226533264;-0,352339723;-0,203529367
-13,15712436;11,48150009;-3,0924688;-0,062941279;-0,993722961;0,108221372;0,304297571
-13,11536537;11,48839343;-3,111112821;-0,062246779;-0,999283027;0,131344387;0,315741439
-13,34646562;11,3428736;-2,881654432;-0,007686722;0,172988038;0,539281268;0,947724033
-13,37858149;11,31839492;-2,866251363;-0,011506088;0,21212695;0,553366157;0,839290212
-13,19639594;11,45581506;-3,084368753;-0,066537422;-0,96770138;0,11916912;0,221139118
-13,23836902;11,41212147;-3,079804079;-0,071159187;-0,929777473;0,155127211;0,098339892
-13,40697713;11,27132714;-2,851887232;-0,019850048;0,304799918;0,613791382;0,590449632
-13,26080296;11,44107421;-2,864339882;-0,077748296;-0,903410532;0,078424288;0,020047745
-12,99347205;11,63320896;-2,987243608;-0,045230798;-1,245126442;-0,049911203;0,970778131
-12,99516042;11,60515896;-2,98631259;-0,04957212;-1,197613357;-0,007323536;0,835341871
-13,00329181;11,58471367;-2,926726603;-0,060215756;-1,03946329;0,031722922;0,47278713
-13,42183058;11,32013559;-2,679105541;-0,018481438;0,22535948;0,498877552;0,788279678
-13,7328034;11,10723846;-2,433858226;0,030156028;1,42471986;0,934670915;1,27422707
-13,53728112;11,24896619;-2,646590765;-0,024711198;0,249260523;0,500382952;0,652720128
-13,11148564;11,50176357;-2,802285582;0,010072401;-0,055257175;0,42021907;1,594126424
-13,14986004;11,49117036;-2,765873315;0,004985122;0,009184712;0,420858355;1,44029355
-12,9825638;11,58762646;-2,962748984;-0,059683771;-1,045485335;0,060121896;0,509518633
-12,9710646;11,58424903;-2,913006557;-0,066617667;-0,933651942;0,079505256;0,260907849
-13,10498903;11,50796666;-2,88771206;-0,076003179;-0,85745341;0,108862557;0,025122643
-13,11664911;11,49419405;-2,871338925;-0,077856159;-0,837185684;0,112781874;-0,030731982
-12,83513931;11,66188345;-2,994874562;-0,048791537;-1,146074729;0,021286005;0,805567281
-13,14543723;11,46371056;-2,74004355;-0,0013797;0,09189232;0,453439618;1,241224239
-13,23400047;11,39963116;-2,704103159;-0,012182583;0,207549211;0,498658665;0,929331528
-13,29458335;11,35406199;-2,703457301;-0,018212947;0,257936376;0,54259801;0,772229858
-13,28634613;11,34165539;-2,684569293;-0,023061088;0,329032927;0,571574791;0,605720502
-13,02633171;11,52537792;-2,773190294;0,009039982;-0,01422845;0,412321293;1,53858914
-13,15479033;11,45514277;-2,741231648;-0,000246872;0,063453123;0,439781268;1,301502237
-13,24735241;11,38707496;-2,725151628;-0,010631631;0,162638188;0,502738965;1,015323877
-13,28650656;11,36625576;-2,69253485;-0,016792758;0,241612024;0,512195418;0,825829081
-12,96324631;11,60824243;-3,113475403;-0,134185123;-2,031414785;-0,300661871;-0,634851495
-12,97944707;11,58276105;-2,952709276;-0,057896557;-1,084206877;0,019296182;0,608729251
-12,85904528;11,64762917;-2,9745772;-0,049968772;-1,148454304;-0,005172652;0,80990658
-12,90996113;11,61019707;-2,954161561;-0,056333995;-1,080428958;0,021737648;0,626929129
-13,04122691;11,53035959;-2,939372697;-0,065835294;-1,008107636;0,071252634;0,392261558
-13,27652509;11,36036447;-2,686385348;-0,017179456;0,243400905;0,510870611;0,825718753
-13,27133281;11,34314686;-2,664250039;-0,023725095;0,337515204;0,550332162;0,603884246
-12,97916827;11,51119855;-2,783283553;0,006653077;0,014081212;0,449580756;1,475750871
-13,01085134;11,49126661;-2,768753858;0,002791554;0,054975294;0,464848088;1,365871894
-13,14630182;11,42416017;-2,718167533;-0,00823036;0,163360841;0,482493058;1,067154808
-13,20956372;11,37997373;-2,689942083;-0,016437093;0,252821808;0,517320185;0,828607222
-13,34819223;11,29390204;-2,680430133;-0,025382783;0,311867837;0,562374341;0,617901887
-13,10120307;11,45991897;-2,783412257;0,00537735;-0,02654703;0,429450967;1,521059126
-13,1403325;11,44071907;-2,752433519;-0,000256571;0,044756042;0,435719273;1,349916713
-13,20004107;11,39935395;-2,725246965;-0,007865664;0,127095857;0,467322874;1,129642519
-13,28716673;11,32607432;-2,712033695;-0,018169177;0,226726224;0,531566078;0,843133145
-13,00412192;11,5088788;-2,897016151;-0,078080962;-0,82387555;0,131770296;-0,012391298
-13,00856753;11,50147244;-2,89522885;-0,078759778;-0,817862442;0,134180887;-0,029661125
-12,6747473;11,70543904;-3,023852562;-0,048259719;-1,112192694;0,050551626;0,822008456
-12,66779139;11,70385006;-2,982219657;-0,054199796;-1,016742569;0,064839334;0,611300438
-12,77028048;11,63032597;-2,945469573;-0,06633557;-0,888029308;0,116444325;0,263168977
-13,04372875;11,43505622;-2,704717377;-0,020522628;0,379728698;0,587449442;0,631013217
-13,13749887;11,39307761;-2,696604839;-0,024353009;0,393564283;0,591660023;0,560801722
-12,78471925;11,5984816;-2,80063291;0,005992362;0,111003804;0,486843878;1,387712539
-12,8593112;11,54345476;-2,768218935;-0,002927831;0,205714734;0,522662039;1,130649619
-12,71398664;11,664385;-2,960079794;-0,063571515;-0,905727242;0,112744372;0,341655896
-12,75818556;11,62520436;-2,937763975;-0,073381867;-0,78948898;0,164671246;0,041576665
-12,80047953;11,57675808;-2,948810147;-0,078032052;-0,752700114;0,206307085;-0,077865853
-12,64561262;11,65682296;-2,829353803;0,012554664;0,062384404;0,474604396;1,549813692
-12,67494608;11,62416561;-2,794742774;0,002716232;0,189820508;0,526225383;1,236027092
-12,83152052;11,54023708;-2,759369913;-0,009215164;0,293824963;0,565798532;0,926469169
-12,70793564;11,63434523;-2,942268367;-0,073485057;-0,775704947;0,173836196;0,027258848
-12,75038573;11,59504476;-2,940612684;-0,077540378;-0,746080583;0,206694761;-0,075794078
-12,74161192;11,60733865;-2,816835509;0,008434128;0,073219887;0,475758553;1,483011618
-12,72660304;11,60066353;-2,800107159;0,003132275;0,153921363;0,510484486;1,298279993
-12,83605832;11,51623;-2,784036473;-0,008040548;0,257021014;0,575326666;0,994375428
-12,97830686;11,44137312;-2,758413072;-0,017001884;0,324226567;0,599924152;0,777034725
-12,90396078;11,5307085;-2,930524801;-0,080442022;-0,769013269;0,173543774;-0,071806312
-12,51056591;11,75548515;-3,032108195;-0,046712382;-1,088627024;0,04939006;0,844614229
-12,51256307;11,7414827;-2,999479768;-0,053910687;-0,987279428;0,088426292;0,603284472
-12,65128024;11,66183919;-2,966551125;-0,0644828;-0,896276996;0,122409371;0,33015061
-12,93250767;11,44983021;-2,752773706;-0,018296653;0,3532444;0,612965285;0,724882502
-12,9001859;11,45780953;-2,711134413;-0,022701382;0,437351873;0,621328862;0,549856854
-12,9104077;11,4410598;-2,73147239;-0,022979864;0,426199797;0,641975064;0,558559123
