timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1667379373010,38,HTTP Request 1,200,OK,Thread Group 1 1-1,bin,true,,614691,126,1,1,http://192.168.56.101/small1.jpg,6,0,3
1667379373085,362,HTTP Request 2,200,OK,Thread Group 1 1-1,bin,true,,4194596,127,1,1,http://192.168.56.101/medium1.jpg,3,0,0
1667379373611,174,HTTP Request 1,200,OK,Thread Group 1 1-2,bin,true,,614691,126,2,2,http://192.168.56.101/small1.jpg,19,0,9
1667379374210,241,HTTP Request 1,200,OK,Thread Group 1 1-3,bin,true,,614691,126,3,3,http://192.168.56.101/small1.jpg,23,0,5
1667379373786,1097,HTTP Request 2,200,OK,Thread Group 1 1-2,bin,true,,4194596,127,4,4,http://192.168.56.101/medium1.jpg,4,0,0
1667379374817,179,HTTP Request 1,200,OK,Thread Group 1 1-4,bin,true,,614691,126,4,4,http://192.168.56.101/small1.jpg,11,0,4
1667379373449,1616,HTTP Request 3,200,OK,Thread Group 1 1-1,bin,true,,9437476,126,4,4,http://192.168.56.101/large1.jpg,3,0,0
1667379374453,932,HTTP Request 2,200,OK,Thread Group 1 1-3,bin,true,,4194596,127,4,4,http://192.168.56.101/medium1.jpg,29,0,0
1667379375067,367,HTTP Request 1,200,OK,Thread Group 1 1-1,bin,true,,614690,126,5,5,http://192.168.56.101/small1.jpg,30,0,0
1667379375413,436,HTTP Request 1,200,OK,Thread Group 1 1-5,bin,true,,614691,126,5,5,http://192.168.56.101/small1.jpg,19,0,7
1667379376012,225,HTTP Request 1,200,OK,Thread Group 1 1-6,bin,true,,614691,126,6,6,http://192.168.56.101/small1.jpg,40,0,8
1667379375444,2062,HTTP Request 2,200,OK,Thread Group 1 1-1,bin,true,,4194596,127,8,8,http://192.168.56.101/medium1.jpg,50,0,0
1667379376617,927,HTTP Request 1,200,OK,Thread Group 1 1-7,bin,true,,614691,126,8,8,http://192.168.56.101/small1.jpg,19,0,9
1667379377212,354,HTTP Request 1,200,OK,Thread Group 1 1-8,bin,true,,614691,126,8,8,http://192.168.56.101/small1.jpg,26,0,4
1667379375115,3772,HTTP Request 2,200,OK,Thread Group 1 1-4,bin,true,,4194596,127,10,10,http://192.168.56.101/medium1.jpg,117,0,0
1667379377507,1691,HTTP Request 3,200,OK,Thread Group 1 1-1,bin,true,,9437476,126,11,11,http://192.168.56.101/large1.jpg,86,0,0
1667379375850,3471,HTTP Request 2,200,OK,Thread Group 1 1-5,bin,true,,4194596,127,11,11,http://192.168.56.101/medium1.jpg,129,0,0
1667379379199,132,HTTP Request 1,200,OK,Thread Group 1 1-1,bin,true,,614690,126,11,11,http://192.168.56.101/small1.jpg,53,0,0
1667379377815,1663,HTTP Request 1,200,OK,Thread Group 1 1-9,bin,true,,614691,126,11,11,http://192.168.56.101/small1.jpg,201,0,62
1667379374886,5892,HTTP Request 3,200,OK,Thread Group 1 1-2,bin,true,,9437476,126,13,13,http://192.168.56.101/large1.jpg,24,0,0
1667379378412,2541,HTTP Request 1,200,OK,Thread Group 1 1-10,bin,true,,614691,126,14,14,http://192.168.56.101/small1.jpg,202,0,74
1667379375386,5569,HTTP Request 3,200,OK,Thread Group 1 1-3,bin,true,,9437476,126,14,14,http://192.168.56.101/large1.jpg,50,0,0
1667379380023,1437,HTTP Request 2,200,OK,Thread Group 1 1-1,bin,true,,4194596,127,15,15,http://192.168.56.101/medium1.jpg,62,0,0
1667379379011,2543,HTTP Request 1,200,OK,Thread Group 1 1-11,bin,true,,614691,126,15,15,http://192.168.56.101/small1.jpg,147,0,62
1667379380954,677,HTTP Request 1,200,OK,Thread Group 1 1-3,bin,true,,614690,126,15,15,http://192.168.56.101/small1.jpg,82,0,0
1667379380778,1105,HTTP Request 1,200,OK,Thread Group 1 1-2,bin,true,,614690,126,15,15,http://192.168.56.101/small1.jpg,359,0,0
1667379380218,2150,HTTP Request 1,200,OK,Thread Group 1 1-13,bin,true,,614691,126,16,16,http://192.168.56.101/small1.jpg,160,0,81
1667379379614,2761,HTTP Request 1,200,OK,Thread Group 1 1-12,bin,true,,614691,126,16,16,http://192.168.56.101/small1.jpg,232,0,51
1667379380812,2147,HTTP Request 1,200,OK,Thread Group 1 1-14,bin,true,,614691,126,17,17,http://192.168.56.101/small1.jpg,145,0,36
1667379376462,6923,HTTP Request 2,200,OK,Thread Group 1 1-6,bin,true,,4194596,127,18,18,http://192.168.56.101/medium1.jpg,61,0,0
1667379381414,2005,HTTP Request 1,200,OK,Thread Group 1 1-15,bin,true,,614691,126,18,18,http://192.168.56.101/small1.jpg,107,0,46
1667379377545,5995,HTTP Request 2,200,OK,Thread Group 1 1-7,bin,true,,4194596,127,18,18,http://192.168.56.101/medium1.jpg,47,0,0
1667379381461,2103,HTTP Request 3,200,OK,Thread Group 1 1-1,bin,true,,9437476,126,18,18,http://192.168.56.101/large1.jpg,62,0,0
1667379383564,116,HTTP Request 1,200,OK,Thread Group 1 1-1,bin,true,,614690,126,18,18,http://192.168.56.101/small1.jpg,41,0,0
1667379382011,1703,HTTP Request 1,200,OK,Thread Group 1 1-16,bin,true,,614691,126,18,18,http://192.168.56.101/small1.jpg,574,0,53
1667379377811,5948,HTTP Request 2,200,OK,Thread Group 1 1-8,bin,true,,4194596,127,18,18,http://192.168.56.101/medium1.jpg,97,0,0
1667379381904,2041,HTTP Request 2,200,OK,Thread Group 1 1-2,bin,true,,4194596,127,19,19,http://192.168.56.101/medium1.jpg,53,0,0
1667379382611,1401,HTTP Request 1,200,OK,Thread Group 1 1-17,bin,true,,614691,126,19,19,http://192.168.56.101/small1.jpg,311,0,34
1667379379322,4764,HTTP Request 3,200,OK,Thread Group 1 1-5,bin,true,,9437476,126,19,19,http://192.168.56.101/large1.jpg,164,0,0
1667379383209,960,HTTP Request 1,200,OK,Thread Group 1 1-18,bin,true,,614691,126,19,19,http://192.168.56.101/small1.jpg,114,0,63
1667379384085,123,HTTP Request 1,200,OK,Thread Group 1 1-5,bin,true,,614690,126,19,19,http://192.168.56.101/small1.jpg,54,0,0
1667379382080,2446,HTTP Request 2,200,OK,Thread Group 1 1-3,bin,true,,4194596,127,20,20,http://192.168.56.101/medium1.jpg,507,0,0
1667379383809,856,HTTP Request 1,200,OK,Thread Group 1 1-19,bin,true,,614691,126,20,20,http://192.168.56.101/small1.jpg,90,0,36
1667379384411,940,HTTP Request 1,200,OK,Thread Group 1 1-20,bin,true,,614691,126,21,21,http://192.168.56.101/small1.jpg,103,0,28
1667379384915,805,HTTP Request 2,200,OK,Thread Group 1 1-1,bin,true,,4194596,127,22,22,http://192.168.56.101/medium1.jpg,90,0,0
1667379385010,1208,HTTP Request 1,200,OK,Thread Group 1 1-21,bin,true,,614691,126,23,23,http://192.168.56.101/small1.jpg,52,0,24
1667379378888,7334,HTTP Request 3,200,OK,Thread Group 1 1-4,bin,true,,9437476,126,23,23,http://192.168.56.101/large1.jpg,63,0,0
1667379383946,2293,HTTP Request 3,200,OK,Thread Group 1 1-2,bin,true,,9437476,126,23,23,http://192.168.56.101/large1.jpg,98,0,0
1667379386240,170,HTTP Request 1,200,OK,Thread Group 1 1-2,bin,true,,614690,126,23,23,http://192.168.56.101/small1.jpg,52,0,0
1667379385610,899,HTTP Request 1,200,OK,Thread Group 1 1-22,bin,true,,614691,126,23,23,http://192.168.56.101/small1.jpg,144,0,52
1667379384527,2042,HTTP Request 3,200,OK,Thread Group 1 1-3,bin,true,,9437476,126,23,23,http://192.168.56.101/large1.jpg,74,0,0
1667379386223,352,HTTP Request 1,200,OK,Thread Group 1 1-4,bin,true,,614690,126,23,23,http://192.168.56.101/small1.jpg,39,0,0
1667379386570,115,HTTP Request 1,200,OK,Thread Group 1 1-3,bin,true,,614690,126,23,23,http://192.168.56.101/small1.jpg,39,0,0
1667379386211,1129,HTTP Request 1,200,OK,Thread Group 1 1-23,bin,true,,614691,126,24,24,http://192.168.56.101/small1.jpg,82,0,36
1667379385511,3974,HTTP Request 2,200,OK,Thread Group 1 1-5,bin,true,,4194596,127,25,25,http://192.168.56.101/medium1.jpg,86,0,0
1667379386811,2914,HTTP Request 1,200,OK,Thread Group 1 1-24,bin,true,,614691,126,25,25,http://192.168.56.101/small1.jpg,126,0,42
1667379386566,3907,HTTP Request 3,200,OK,Thread Group 1 1-1,bin,true,,9437476,126,25,25,http://192.168.56.101/large1.jpg,27,0,0
1667379390474,554,HTTP Request 1,200,OK,Thread Group 1 1-1,bin,true,,614690,126,25,25,http://192.168.56.101/small1.jpg,74,0,0
1667379387411,4424,HTTP Request 1,200,OK,Thread Group 1 1-25,bin,true,,614691,126,25,25,http://192.168.56.101/small1.jpg,233,0,72
1667379379479,12475,HTTP Request 2,200,OK,Thread Group 1 1-9,bin,true,,4194596,127,25,25,http://192.168.56.101/medium1.jpg,377,0,0
1667379381555,10635,HTTP Request 2,200,OK,Thread Group 1 1-11,bin,true,,4194596,127,25,25,http://192.168.56.101/medium1.jpg,113,0,0
1667379380953,11414,HTTP Request 2,200,OK,Thread Group 1 1-10,bin,true,,4194596,127,25,25,http://192.168.56.101/medium1.jpg,78,0,0
1667379382960,10264,HTTP Request 2,200,OK,Thread Group 1 1-14,bin,true,,4194596,127,25,25,http://192.168.56.101/medium1.jpg,86,0,0
1667379382369,10940,HTTP Request 2,200,OK,Thread Group 1 1-13,bin,true,,4194596,127,25,25,http://192.168.56.101/medium1.jpg,223,0,0
1667379382375,11018,HTTP Request 2,200,OK,Thread Group 1 1-12,bin,true,,4194596,127,25,25,http://192.168.56.101/medium1.jpg,219,0,0
1667379383420,9992,HTTP Request 2,200,OK,Thread Group 1 1-15,bin,true,,4194596,127,25,25,http://192.168.56.101/medium1.jpg,51,0,0
1667379392350,1067,HTTP Request 2,200,OK,Thread Group 1 1-1,bin,true,,4194596,127,25,25,http://192.168.56.101/medium1.jpg,74,0,0
1667379389486,4247,HTTP Request 3,200,OK,Thread Group 1 1-5,bin,true,,9437476,126,25,25,http://192.168.56.101/large1.jpg,77,0,0
1667379383540,10342,HTTP Request 3,200,OK,Thread Group 1 1-7,bin,true,,9437476,126,25,25,http://192.168.56.101/large1.jpg,41,0,0
1667379393734,225,HTTP Request 1,200,OK,Thread Group 1 1-5,bin,true,,614690,126,25,25,http://192.168.56.101/small1.jpg,87,0,0
1667379383714,10257,HTTP Request 2,200,OK,Thread Group 1 1-16,bin,true,,4194596,127,25,25,http://192.168.56.101/medium1.jpg,47,0,0
