timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1667382906003,119,HTTP Request 1,200,OK,Thread Group 1 1-1,bin,true,,614691,126,1,1,http://192.168.56.101/small1.jpg,77,0,3
1667382906122,568,HTTP Request 2,200,OK,Thread Group 1 1-1,bin,true,,4194596,127,2,2,http://192.168.56.101/medium1.jpg,11,0,0
1667382906604,301,HTTP Request 1,200,OK,Thread Group 1 1-2,bin,true,,614691,126,2,2,http://192.168.56.101/small1.jpg,80,0,2
1667382907203,351,HTTP Request 1,200,OK,Thread Group 1 1-3,bin,true,,614691,126,3,3,http://192.168.56.101/small1.jpg,7,0,3
1667382907802,236,HTTP Request 1,200,OK,Thread Group 1 1-4,bin,true,,614691,126,4,4,http://192.168.56.101/small1.jpg,6,0,2
1667382908402,220,HTTP Request 1,200,OK,Thread Group 1 1-5,bin,true,,614691,126,5,5,http://192.168.56.101/small1.jpg,4,0,2
1667382908103,1032,HTTP Request 2,200,OK,Thread Group 1 1-4,bin,true,,4194596,127,6,6,http://192.168.56.101/medium1.jpg,4,0,0
1667382909005,791,HTTP Request 1,200,OK,Thread Group 1 1-6,bin,true,,614691,126,7,7,http://192.168.56.101/small1.jpg,6,0,1
1667382909604,1004,HTTP Request 1,200,OK,Thread Group 1 1-7,bin,true,,614691,126,8,8,http://192.168.56.101/small1.jpg,5,0,2
1667382908777,1908,HTTP Request 2,200,OK,Thread Group 1 1-5,bin,true,,4194596,127,8,8,http://192.168.56.101/medium1.jpg,10,0,0
1667382910202,1092,HTTP Request 1,200,OK,Thread Group 1 1-8,bin,true,,614691,126,9,9,http://192.168.56.101/small1.jpg,53,0,3
1667382910802,992,HTTP Request 1,200,OK,Thread Group 1 1-9,bin,true,,614691,126,10,10,http://192.168.56.101/small1.jpg,4,0,1
1667382911402,714,HTTP Request 1,200,OK,Thread Group 1 1-10,bin,true,,614691,126,11,11,http://192.168.56.101/small1.jpg,4,0,2
