,Timestamp,ID-Node,Rack,Midplane,Node,Card,Card type,Message,Tuple
0,1128641357,R71-M1-NC,R71,M1,NC,J18-U11,I-O,ciod: Error reading message prefix after LOGIN_MESSAGE on CioStream socket to 172.16.96.116:39943: Link has been severed,0
1,1128641357,R71-M1-NC,R71,M1,NC,J18-U01,I-O,ciod: Error reading message prefix after LOGIN_MESSAGE on CioStream socket to 172.16.96.116:39944: Link has been severed,0
2,1128641360,R71-M1-N8,R71,M1,N8,J18-U11,I-O,ciod: Error reading message prefix after LOGIN_MESSAGE on CioStream socket to 172.16.96.116:39945: Link has been severed,0
3,1128641360,R71-M1-N8,R71,M1,N8,J18-U01,I-O,ciod: Error reading message prefix after LOGIN_MESSAGE on CioStream socket to 172.16.96.116:39946: Link has been severed,0
4,1128641362,R71-M1-N4,R71,M1,N4,J18-U11,I-O,ciod: Error reading message prefix after LOGIN_MESSAGE on CioStream socket to 172.16.96.116:39947: Link has been severed,0
5,1128641363,R71-M1-N4,R71,M1,N4,J18-U01,I-O,ciod: Error reading message prefix after LOGIN_MESSAGE on CioStream socket to 172.16.96.116:39948: Link has been severed,0
6,1128641365,R71-M0-NC,R71,M0,NC,J18-U11,I-O,ciod: Error reading message prefix after LOGIN_MESSAGE on CioStream socket to 172.16.96.116:39687: Link has been severed,0
7,1128641365,R71-M0-NC,R71,M0,NC,J18-U01,I-O,ciod: Error reading message prefix after LOGIN_MESSAGE on CioStream socket to 172.16.96.116:39688: Link has been severed,0
8,1128641380,R71-M0-N0,R71,M0,N0,J18-U11,I-O,ciod: Error reading message prefix after LOGIN_MESSAGE on CioStream socket to 172.16.96.116:39693: Link has been severed,0
9,1128641380,R71-M0-N0,R71,M0,N0,J18-U01,I-O,ciod: Error reading message prefix after LOGIN_MESSAGE on CioStream socket to 172.16.96.116:39694: Link has been severed,0
10,1128641385,R71-M0-N4,R71,M0,N4,J18-U11,I-O,ciod: Error reading message prefix after LOGIN_MESSAGE on CioStream socket to 172.16.96.116:39691: Link has been severed,0
11,1128641385,R71-M0-N4,R71,M0,N4,J18-U01,I-O,ciod: Error reading message prefix after LOGIN_MESSAGE on CioStream socket to 172.16.96.116:39692: Link has been severed,0
12,1128641385,R71-M1-N0,R71,M1,N0,J18-U11,I-O,ciod: Error reading message prefix after LOGIN_MESSAGE on CioStream socket to 172.16.96.116:39949: Link has been severed,0
13,1128641385,R71-M1-N0,R71,M1,N0,J18-U01,I-O,ciod: Error reading message prefix after LOGIN_MESSAGE on CioStream socket to 172.16.96.116:39950: Link has been severed,0
14,1128641393,R71-M0-N8,R71,M0,N8,J18-U11,I-O,ciod: Error reading message prefix after LOGIN_MESSAGE on CioStream socket to 172.16.96.116:39689: Link has been severed,0
15,1128641393,R71-M0-N8,R71,M0,N8,J18-U01,I-O,ciod: Error reading message prefix after LOGIN_MESSAGE on CioStream socket to 172.16.96.116:39690: Link has been severed,0
16,1128970771,R71-M1-NC,R71,M1,NC,J18-U11,I-O,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:57895: Link has been severed,1
17,1128970771,R71-M1-NC,R71,M1,NC,J18-U01,I-O,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:57896: Link has been severed,1
18,1128970774,R71-M1-N8,R71,M1,N8,J18-U11,I-O,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:57897: Link has been severed,1
19,1128970774,R71-M1-N8,R71,M1,N8,J18-U01,I-O,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:57898: Link has been severed,1
20,1128970776,R71-M1-N4,R71,M1,N4,J18-U11,I-O,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:57899: Link has been severed,1
21,1128970776,R71-M1-N4,R71,M1,N4,J18-U01,I-O,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:57900: Link has been severed,1
22,1128970779,R71-M0-NC,R71,M0,NC,J18-U11,I-O,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:57639: Link has been severed,1
23,1128970779,R71-M0-NC,R71,M0,NC,J18-U01,I-O,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:57640: Link has been severed,1
24,1128970792,R71-M0-N0,R71,M0,N0,J18-U11,I-O,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:57645: Link has been severed,1
25,1128970792,R71-M0-N0,R71,M0,N0,J18-U01,I-O,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:57646: Link has been severed,1
26,1128970796,R71-M0-N4,R71,M0,N4,J18-U11,I-O,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:57643: Link has been severed,1
27,1128970796,R71-M0-N4,R71,M0,N4,J18-U01,I-O,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:57644: Link has been severed,1
28,1128970796,R71-M1-N0,R71,M1,N0,J18-U11,I-O,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:57901: Link has been severed,1
29,1128970796,R71-M1-N0,R71,M1,N0,J18-U01,I-O,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:57902: Link has been severed,1
30,1128970803,R71-M0-N8,R71,M0,N8,J18-U11,I-O,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:57641: Link has been severed,1
31,1128970803,R71-M0-N8,R71,M0,N8,J18-U01,I-O,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:57642: Link has been severed,1
32,1129165904,R71-M1-NC,R71,M1,NC,J18-U11,I-O,ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/vnm.rts: invalid or missing program image,2
33,1129165904,R71-M1-NC,R71,M1,NC,J18-U01,I-O,ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/vnm.rts: invalid or missing program image,2
34,1129165907,R71-M1-N8,R71,M1,N8,J18-U11,I-O,ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/vnm.rts: invalid or missing program image,2
35,1129165907,R71-M1-N8,R71,M1,N8,J18-U01,I-O,ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/vnm.rts: invalid or missing program image,2
36,1129165908,R71-M1-N4,R71,M1,N4,J18-U11,I-O,ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/vnm.rts: invalid or missing program image,2
37,1129165908,R71-M1-N4,R71,M1,N4,J18-U01,I-O,ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/vnm.rts: invalid or missing program image,2
38,1129165911,R71-M0-NC,R71,M0,NC,J18-U11,I-O,ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/vnm.rts: invalid or missing program image,2
39,1129165911,R71-M0-NC,R71,M0,NC,J18-U01,I-O,ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/vnm.rts: invalid or missing program image,2
40,1129165926,R71-M0-N0,R71,M0,N0,J18-U11,I-O,ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/vnm.rts: invalid or missing program image,2
41,1129165926,R71-M0-N0,R71,M0,N0,J18-U01,I-O,ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/vnm.rts: invalid or missing program image,2
42,1129165930,R71-M0-N4,R71,M0,N4,J18-U11,I-O,ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/vnm.rts: invalid or missing program image,2
43,1129165930,R71-M0-N4,R71,M0,N4,J18-U01,I-O,ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/vnm.rts: invalid or missing program image,2
44,1129165930,R71-M1-N0,R71,M1,N0,J18-U11,I-O,ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/vnm.rts: invalid or missing program image,2
45,1129165931,R71-M1-N0,R71,M1,N0,J18-U01,I-O,ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/vnm.rts: invalid or missing program image,2
46,1129165937,R71-M0-N8,R71,M0,N8,J18-U11,I-O,ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/vnm.rts: invalid or missing program image,2
47,1129165937,R71-M0-N8,R71,M0,N8,J18-U01,I-O,ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/vnm.rts: invalid or missing program image,2
48,1129166676,R71-M1-NC,R71,M1,NC,J18-U11,I-O,ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/vnm.rts: invalid or missing program image,3
49,1129166676,R71-M1-NC,R71,M1,NC,J18-U01,I-O,ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/vnm.rts: invalid or missing program image,3
50,1129166679,R71-M1-N8,R71,M1,N8,J18-U11,I-O,ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/vnm.rts: invalid or missing program image,3
51,1129166679,R71-M1-N8,R71,M1,N8,J18-U01,I-O,ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/vnm.rts: invalid or missing program image,3
52,1129166681,R71-M1-N4,R71,M1,N4,J18-U11,I-O,ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/vnm.rts: invalid or missing program image,3
53,1129166681,R71-M1-N4,R71,M1,N4,J18-U01,I-O,ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/vnm.rts: invalid or missing program image,3
54,1129166683,R71-M0-NC,R71,M0,NC,J18-U11,I-O,ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/vnm.rts: invalid or missing program image,3
55,1129166684,R71-M0-NC,R71,M0,NC,J18-U01,I-O,ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/vnm.rts: invalid or missing program image,3
56,1129166696,R71-M0-N0,R71,M0,N0,J18-U11,I-O,ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/vnm.rts: invalid or missing program image,3
57,1129166696,R71-M0-N0,R71,M0,N0,J18-U01,I-O,ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/vnm.rts: invalid or missing program image,3
58,1129166701,R71-M0-N4,R71,M0,N4,J18-U11,I-O,ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/vnm.rts: invalid or missing program image,3
59,1129166701,R71-M0-N4,R71,M0,N4,J18-U01,I-O,ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/vnm.rts: invalid or missing program image,3
60,1129166701,R71-M1-N0,R71,M1,N0,J18-U11,I-O,ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/vnm.rts: invalid or missing program image,3
61,1129166701,R71-M1-N0,R71,M1,N0,J18-U01,I-O,ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/vnm.rts: invalid or missing program image,3
62,1129166708,R71-M0-N8,R71,M0,N8,J18-U11,I-O,ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/vnm.rts: invalid or missing program image,3
63,1129166708,R71-M0-N8,R71,M0,N8,J18-U01,I-O,ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/vnm.rts: invalid or missing program image,3
64,1129204933,R71-M1-NC,R71,M1,NC,J18-U11,I-O,ciod: Error loading /bgl/apps/followup/SPASM/spasm.254: invalid or missing program image,4
65,1129204933,R71-M1-NC,R71,M1,NC,J18-U01,I-O,ciod: Error loading /bgl/apps/followup/SPASM/spasm.254: invalid or missing program image,4
66,1129204935,R71-M1-N8,R71,M1,N8,J18-U11,I-O,ciod: Error loading /bgl/apps/followup/SPASM/spasm.254: invalid or missing program image,4
67,1129204936,R71-M1-N8,R71,M1,N8,J18-U01,I-O,ciod: Error loading /bgl/apps/followup/SPASM/spasm.254: invalid or missing program image,4
68,1129204940,R71-M0-NC,R71,M0,NC,J18-U11,I-O,ciod: Error loading /bgl/apps/followup/SPASM/spasm.254: invalid or missing program image,4
69,1129204940,R71-M0-NC,R71,M0,NC,J18-U01,I-O,ciod: Error loading /bgl/apps/followup/SPASM/spasm.254: invalid or missing program image,4
70,1129204953,R71-M0-N0,R71,M0,N0,J18-U11,I-O,ciod: Error loading /bgl/apps/followup/SPASM/spasm.254: invalid or missing program image,4
71,1129204953,R71-M0-N0,R71,M0,N0,J18-U01,I-O,ciod: Error loading /bgl/apps/followup/SPASM/spasm.254: invalid or missing program image,4
72,1129204957,R71-M0-N4,R71,M0,N4,J18-U11,I-O,ciod: Error loading /bgl/apps/followup/SPASM/spasm.254: invalid or missing program image,4
73,1129204957,R71-M0-N4,R71,M0,N4,J18-U01,I-O,ciod: Error loading /bgl/apps/followup/SPASM/spasm.254: invalid or missing program image,4
74,1129204964,R71-M0-N8,R71,M0,N8,J18-U11,I-O,ciod: Error loading /bgl/apps/followup/SPASM/spasm.254: invalid or missing program image,4
75,1129204964,R71-M0-N8,R71,M0,N8,J18-U01,I-O,ciod: Error loading /bgl/apps/followup/SPASM/spasm.254: invalid or missing program image,4
76,1129205008,R71-M1-N4,R71,M1,N4,J18-U11,I-O,ciod: Error loading /bgl/apps/followup/SPASM/spasm.254: invalid or missing program image,4
77,1129205008,R71-M1-N4,R71,M1,N4,J18-U01,I-O,ciod: Error loading /bgl/apps/followup/SPASM/spasm.254: invalid or missing program image,4
78,1129205012,R71-M1-N0,R71,M1,N0,J18-U11,I-O,ciod: Error loading /bgl/apps/followup/SPASM/spasm.254: invalid or missing program image,4
79,1129205012,R71-M1-N0,R71,M1,N0,J18-U01,I-O,ciod: Error loading /bgl/apps/followup/SPASM/spasm.254: invalid or missing program image,4
80,1129208196,R71-M0-NC,R71,M0,NC,J18-U11,I-O,ciod: Error loading /bgl/apps/followup/MINIBEN/MB_254_051007/bandwidth.rts: invalid or missing program image,5
81,1129208196,R71-M0-NC,R71,M0,NC,J18-U01,I-O,ciod: Error loading /bgl/apps/followup/MINIBEN/MB_254_051007/bandwidth.rts: invalid or missing program image,5
82,1129208207,R71-M0-N0,R71,M0,N0,J18-U11,I-O,ciod: Error loading /bgl/apps/followup/MINIBEN/MB_254_051007/bandwidth.rts: invalid or missing program image,5
83,1129208207,R71-M0-N0,R71,M0,N0,J18-U01,I-O,ciod: Error loading /bgl/apps/followup/MINIBEN/MB_254_051007/bandwidth.rts: invalid or missing program image,5
84,1129208210,R71-M0-N4,R71,M0,N4,J18-U11,I-O,ciod: Error loading /bgl/apps/followup/MINIBEN/MB_254_051007/bandwidth.rts: invalid or missing program image,5
85,1129208210,R71-M0-N4,R71,M0,N4,J18-U01,I-O,ciod: Error loading /bgl/apps/followup/MINIBEN/MB_254_051007/bandwidth.rts: invalid or missing program image,5
86,1129208211,R71-M1-N0,R71,M1,N0,J18-U11,I-O,ciod: Error loading /bgl/apps/followup/MINIBEN/MB_254_051007/bandwidth.rts: invalid or missing program image,5
87,1129208211,R71-M1-N0,R71,M1,N0,J18-U01,I-O,ciod: Error loading /bgl/apps/followup/MINIBEN/MB_254_051007/bandwidth.rts: invalid or missing program image,5
