,Timestamp,ID-Node,Rack,Midplane,Node,Card,Card type,Message,Tuple
0,1132841269,R03-M1-NF,R03,M1,NF,J07-U01,computation,machine check interrupt (bit=0x10): L2 dcache unit read return parity error,0
1,1132841269,R03-M1-NF,R03,M1,NF,J07-U01,computation,instruction address: 0x002a2560,0
2,1132841269,R03-M1-NF,R03,M1,NF,J07-U01,computation,Machine Check Status Register: 0xa0000000,0
3,1132841269,R03-M1-NF,R03,M1,NF,J07-U01,computation,machine check summary.............1,0
4,1132841270,R03-M1-NF,R03,M1,NF,J07-U01,computation,instruction plb error.............0,0
5,1132841270,R03-M1-NF,R03,M1,NF,J07-U01,computation,data read plb error...............1,0
6,1132841270,R03-M1-NF,R03,M1,NF,J07-U01,computation,data write plb error..............0,0
7,1132841270,R03-M1-NF,R03,M1,NF,J07-U01,computation,tlb error.........................0,0
8,1132841270,R03-M1-NF,R03,M1,NF,J07-U01,computation,i-cache parity error..............0,0
9,1132841270,R03-M1-NF,R03,M1,NF,J07-U01,computation,d-cache search parity error.......0,0
10,1132841270,R03-M1-NF,R03,M1,NF,J07-U01,computation,d-cache flush parity error........0,0
11,1132841271,R03-M1-NF,R03,M1,NF,J07-U01,computation,imprecise machine check...........0,0
12,1132841271,R03-M1-NF,R03,M1,NF,J07-U01,computation,Machine State Register: 0x0002f900,0
13,1132841271,R03-M1-NF,R03,M1,NF,J07-U01,computation,wait state enable.................0,0
14,1132841271,R03-M1-NF,R03,M1,NF,J07-U01,computation,critical input interrupt enable...1,0
15,1132841271,R03-M1-NF,R03,M1,NF,J07-U01,computation,external input interrupt enable...1,0
16,1132841271,R03-M1-NF,R03,M1,NF,J07-U01,computation,problem state (0=sup,0
17,1132841272,R03-M1-NF,R03,M1,NF,J07-U01,computation,floating point instr. enabled.....1,0
18,1132841272,R03-M1-NF,R03,M1,NF,J07-U01,computation,machine check enable..............1,0
19,1132841272,R03-M1-NF,R03,M1,NF,J07-U01,computation,floating pt ex mode 0 enable......1,0
20,1132841272,R03-M1-NF,R03,M1,NF,J07-U01,computation,debug wait enable.................0,0
21,1132841272,R03-M1-NF,R03,M1,NF,J07-U01,computation,debug interrupt enable............0,0
22,1132841272,R03-M1-NF,R03,M1,NF,J07-U01,computation,floating pt ex mode 1 enable......1,0
23,1132841272,R03-M1-NF,R03,M1,NF,J07-U01,computation,instruction address space.........0,0
24,1132841273,R03-M1-NF,R03,M1,NF,J07-U01,computation,data address space................0,0
25,1132841273,R03-M1-NF,R03,M1,NF,J07-U01,computation,Core Configuration Register 0: 0x40002000,0
26,1132841273,R03-M1-NF,R03,M1,NF,J07-U01,computation,disable store gathering..................0,0
27,1132841273,R03-M1-NF,R03,M1,NF,J07-U01,computation,disable apu instruction broadcast........0,0
28,1132841273,R03-M1-NF,R03,M1,NF,J07-U01,computation,disable trace broadcast..................0,0
29,1132841273,R03-M1-NF,R03,M1,NF,J07-U01,computation,guaranteed instruction cache block touch.0,0
30,1132841273,R03-M1-NF,R03,M1,NF,J07-U01,computation,guaranteed data cache block touch........1,0
31,1132841274,R03-M1-NF,R03,M1,NF,J07-U01,computation,force load/store alignment...............0,0
32,1132841274,R03-M1-NF,R03,M1,NF,J07-U01,computation,icache prefetch depth....................0,0
33,1132841274,R03-M1-NF,R03,M1,NF,J07-U01,computation,icache prefetch threshold................0,0
34,1132841274,R03-M1-NF,R03,M1,NF,J07-U01,computation,General Purpose Registers:,0
35,1132841274,R03-M1-NF,R03,M1,NF,J07-U01,computation,r00=0x00000000 r01=0x0ffe82b0 r02=0x1eeeeeee r03=0x0ffea4c8,0
36,1132841274,R03-M1-NF,R03,M1,NF,J07-U01,computation,r04=0x00000000 r05=0x24404244 r06=0x0029fcac r07=0x00003710,0
37,1132841274,R03-M1-NF,R03,M1,NF,J07-U01,computation,r08=0x00ed4920 r09=0x00000000 r10=0x003b0000 r11=0x00ed4920,0
