,Window,Tuples
0,5,918
1,10,681
2,15,563
3,20,518
4,25,501
5,30,484
6,35,475
7,40,474
8,45,474
9,50,472
10,55,471
11,60,471
12,65,468
13,70,468
14,75,449
15,80,443
16,85,433
17,90,428
18,95,427
19,100,427
20,105,427
21,110,425
22,115,425
23,120,421
24,125,421
25,130,418
26,135,414
27,140,413
28,145,412
29,150,412
30,155,412
31,160,410
32,165,410
33,170,410
34,175,409
35,180,407
36,185,406
37,190,405
38,195,404
39,200,403
40,205,402
41,210,401
42,215,401
43,220,401
44,225,400
45,230,400
46,235,400
47,240,399
48,245,398
49,250,395
50,255,394
51,260,394
52,265,391
53,270,389
54,275,388
55,280,388
56,285,387
57,290,387
58,295,385
59,300,385
60,305,384
61,310,384
62,315,383
63,320,382
64,325,381
65,330,381
66,335,381
67,340,381
68,345,379
69,350,377
70,355,376
71,360,375
72,365,375
73,370,375
74,375,374
75,380,374
76,385,374
77,390,374
78,395,373
79,400,371
80,405,371
81,410,369
82,415,369
83,420,369
84,425,369
85,430,367
86,435,367
87,440,366
88,445,363
89,450,363
90,455,362
91,460,362
92,465,362
93,470,361
94,475,360
95,480,360
96,485,358
97,490,358
98,495,357
99,500,356
100,505,355
101,510,354
102,515,354
103,520,354
104,525,354
105,530,354
106,535,353
107,540,353
108,545,353
109,550,353
110,555,353
111,560,353
112,565,351
113,570,351
114,575,351
115,580,350
116,585,350
117,590,350
118,595,349
119,600,348
120,605,348
121,610,347
122,615,346
123,620,346
124,625,346
125,630,346
126,635,346
127,640,346
128,645,346
129,650,345
130,655,344
131,660,344
132,665,344
133,670,344
134,675,342
135,680,342
136,685,342
137,690,342
138,695,342
139,700,342
140,705,342
141,710,341
142,715,341
143,720,341
144,725,341
145,730,341
146,735,341
147,740,341
148,745,341
149,750,341
150,755,341
151,760,340
152,765,339
153,770,338
154,775,338
155,780,338
156,785,337
157,790,335
158,795,335
