,Timestamp,Node,Subsystem,Message,Type,Tuple
0,1167637660,tg-c645,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,computation,0
1,1167637660,tg-c645,PRO,Device Error Info Section,computation,0
2,1167637660,tg-c645,PRO,Error Map: x,computation,0
3,1167637720,tg-c645,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,computation,0
4,1167637720,tg-c645,PRO,Device Error Info Section,computation,0
5,1167637720,tg-c645,PRO,Error Map: x,computation,0
6,1167670190,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,computation,1
7,1167670190,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,computation,1
8,1167670190,tg-c648,PRO,Device Error Info Section,computation,1
9,1167670190,tg-c648,PRO,Error Map: x,computation,1
10,1167670195,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,computation,1
11,1167670195,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,computation,1
12,1167670195,tg-c648,PRO,Device Error Info Section,computation,1
13,1167670195,tg-c648,PRO,Error Map: x,computation,1
14,1167670200,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,computation,1
15,1167670200,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,computation,1
16,1167670200,tg-c648,PRO,Device Error Info Section,computation,1
17,1167670200,tg-c648,PRO,Error Map: x,computation,1
18,1167670205,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,computation,1
19,1167670205,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,computation,1
20,1167670205,tg-c648,PRO,Device Error Info Section,computation,1
21,1167670205,tg-c648,PRO,Error Map: x,computation,1
22,1167670210,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,computation,1
23,1167670210,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,computation,1
24,1167670210,tg-c648,PRO,Device Error Info Section,computation,1
25,1167670210,tg-c648,PRO,Error Map: x,computation,1
26,1167670211,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,computation,1
27,1167670215,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,computation,1
28,1167670215,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,computation,1
29,1167670215,tg-c648,PRO,Device Error Info Section,computation,1
30,1167670215,tg-c648,PRO,Error Map: x,computation,1
31,1167670220,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,computation,1
32,1167670220,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,computation,1
33,1167670220,tg-c648,PRO,Device Error Info Section,computation,1
34,1167670220,tg-c648,PRO,Error Map: x,computation,1
35,1167670225,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,computation,1
36,1167670225,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,computation,1
37,1167670225,tg-c648,PRO,Device Error Info Section,computation,1
38,1167670225,tg-c648,PRO,Error Map: x,computation,1
39,1167670230,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,computation,1
40,1167670230,tg-c648,PRO,Device Error Info Section,computation,1
41,1167670230,tg-c648,PRO,Error Map: x,computation,1
42,1167670231,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,computation,1
43,1167670231,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,computation,1
44,1167670235,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,computation,1
45,1167670235,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,computation,1
46,1167670235,tg-c648,PRO,Device Error Info Section,computation,1
47,1167670235,tg-c648,PRO,Error Map: x,computation,1
48,1167670236,tg-c648,PRO,Device Error Info Section,computation,1
49,1167670236,tg-c648,PRO,Error Map: x,computation,1
50,1167670241,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,computation,1
51,1167670241,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,computation,1
52,1167670241,tg-c648,PRO,Device Error Info Section,computation,1
53,1167670241,tg-c648,PRO,Error Map: x,computation,1
54,1167670244,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,computation,1
55,1167670244,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,computation,1
56,1167670244,tg-c648,PRO,Device Error Info Section,computation,1
57,1167670244,tg-c648,PRO,Error Map: x,computation,1
58,1167670246,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,computation,1
59,1167670246,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,computation,1
60,1167670246,tg-c648,PRO,Device Error Info Section,computation,1
61,1167670246,tg-c648,PRO,Error Map: x,computation,1
62,1167670249,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,computation,1
63,1167670249,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,computation,1
64,1167670249,tg-c648,PRO,Device Error Info Section,computation,1
65,1167670249,tg-c648,PRO,Error Map: x,computation,1
66,1167670251,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,computation,1
67,1167670251,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,computation,1
68,1167670251,tg-c648,PRO,Device Error Info Section,computation,1
69,1167670251,tg-c648,PRO,Error Map: x,computation,1
70,1167670254,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,computation,1
71,1167670254,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,computation,1
72,1167670254,tg-c648,PRO,Device Error Info Section,computation,1
73,1167670254,tg-c648,PRO,Error Map: x,computation,1
74,1167670256,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,computation,1
75,1167670256,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,computation,1
76,1167670256,tg-c648,PRO,Device Error Info Section,computation,1
77,1167670256,tg-c648,PRO,Error Map: x,computation,1
78,1167670259,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,computation,1
79,1167670259,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,computation,1
80,1167670259,tg-c648,PRO,Device Error Info Section,computation,1
81,1167670259,tg-c648,PRO,Error Map: x,computation,1
82,1167670261,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,computation,1
83,1167670261,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,computation,1
84,1167670261,tg-c648,PRO,Device Error Info Section,computation,1
85,1167670261,tg-c648,PRO,Error Map: x,computation,1
86,1167670264,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,computation,1
87,1167670264,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,computation,1
88,1167670264,tg-c648,PRO,Device Error Info Section,computation,1
89,1167670264,tg-c648,PRO,Error Map: x,computation,1
90,1167670266,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,computation,1
91,1167670266,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,computation,1
92,1167670266,tg-c648,PRO,Device Error Info Section,computation,1
93,1167670266,tg-c648,PRO,Error Map: x,computation,1
94,1167670269,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,computation,1
95,1167670269,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,computation,1
96,1167670269,tg-c648,PRO,Device Error Info Section,computation,1
97,1167670269,tg-c648,PRO,Error Map: x,computation,1
98,1167670271,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,computation,1
99,1167670271,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,computation,1
100,1167670271,tg-c648,PRO,Device Error Info Section,computation,1
101,1167670271,tg-c648,PRO,Error Map: x,computation,1
102,1167670274,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,computation,1
103,1167670274,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,computation,1
104,1167670274,tg-c648,PRO,Device Error Info Section,computation,1
105,1167670274,tg-c648,PRO,Error Map: x,computation,1
106,1167670275,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,computation,1
107,1167670275,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,computation,1
108,1167670275,tg-c648,PRO,Device Error Info Section,computation,1
109,1167670275,tg-c648,PRO,Error Map: x,computation,1
110,1167670280,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,computation,1
111,1167670280,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,computation,1
112,1167670280,tg-c648,PRO,Device Error Info Section,computation,1
