,Window,Tuples
0,1,7981
1,2,5288
2,3,5111
3,4,4800
4,5,4347
5,6,3711
6,7,3328
7,8,3214
8,9,3130
9,10,2952
10,11,2676
11,12,2504
12,13,2427
13,14,2394
14,15,2315
15,16,2184
16,17,2079
17,18,2028
18,19,1989
19,20,1940
20,21,1853
21,22,1771
22,23,1704
23,24,1667
24,25,1629
25,26,1564
26,27,1508
27,28,1454
28,29,1433
29,30,1410
30,31,1365
31,32,1306
32,33,1268
33,34,1244
34,35,1216
35,36,1193
36,37,1143
37,38,1103
38,39,1074
39,40,1059
40,41,1044
41,42,1005
42,43,977
43,44,946
44,45,930
45,46,906
46,47,870
47,48,843
48,49,823
49,50,804
50,51,789
51,52,768
52,53,749
53,54,723
54,55,711
55,56,699
56,57,684
57,58,661
58,59,644
59,60,635
60,61,623
61,62,610
62,63,589
63,64,564
64,65,546
65,66,538
66,67,529
67,68,517
68,69,506
69,70,499
70,71,490
71,72,485
72,73,471
73,74,454
74,75,441
75,76,437
76,77,426
77,78,420
78,79,406
79,80,397
80,81,388
81,82,380
82,83,372
83,84,364
84,85,355
85,86,348
86,87,345
87,88,336
88,89,329
89,90,326
90,91,316
91,92,315
92,93,312
93,94,297
94,95,293
95,96,289
96,97,281
97,98,274
98,99,267
99,100,258
100,101,254
101,102,251
102,103,244
103,104,239
104,105,235
105,106,233
106,107,223
107,108,218
108,109,211
109,110,206
110,111,200
111,112,197
112,113,194
113,114,191
114,115,186
115,116,184
116,117,179
117,118,176
118,119,171
119,120,170
120,121,164
121,122,163
122,123,159
123,124,155
124,125,150
125,126,148
126,127,143
127,128,138
128,129,134
129,130,133
130,131,129
131,132,125
132,133,122
133,134,121
134,135,118
135,136,115
136,137,113
137,138,109
138,139,108
139,140,106
140,141,104
141,142,103
142,143,103
143,144,100
144,145,99
145,146,95
146,147,93
147,148,92
148,149,90
149,150,87
150,151,85
151,152,83
152,153,83
153,154,81
154,155,78
155,156,77
156,157,75
157,158,74
158,159,72
159,160,71
160,161,69
161,162,68
162,163,66
163,164,66
164,165,64
165,166,63
166,167,62
167,168,61
168,169,60
169,170,59
170,171,59
171,172,59
172,173,58
173,174,58
174,175,56
175,176,56
176,177,54
177,178,50
178,179,47
179,180,47
180,181,46
181,182,46
182,183,44
183,184,43
184,185,43
185,186,43
186,187,43
187,188,41
188,189,39
189,190,38
190,191,38
191,192,38
192,193,37
193,194,37
194,195,36
195,196,36
196,197,36
197,198,36
198,199,34
199,200,34
200,201,34
201,202,34
202,203,34
203,204,34
204,205,34
205,206,34
206,207,33
207,208,33
208,209,32
209,210,32
210,211,32
211,212,32
212,213,32
213,214,32
214,215,32
215,216,32
216,217,32
217,218,32
218,219,31
219,220,31
220,221,31
221,222,30
222,223,30
223,224,30
224,225,29
225,226,29
226,227,29
227,228,29
228,229,29
229,230,29
230,231,28
231,232,26
232,233,26
233,234,26
234,235,25
235,236,25
236,237,25
237,238,25
238,239,24
239,240,24
240,241,23
241,242,23
242,243,23
243,244,23
244,245,23
245,246,22
246,247,22
247,248,22
248,249,22
249,250,22
250,251,22
251,252,22
252,253,22
253,254,21
254,255,21
255,256,21
256,257,20
257,258,20
258,259,20
259,260,20
260,261,20
261,262,20
262,263,20
263,264,20
264,265,20
265,266,20
266,267,20
267,268,20
268,269,20
269,270,20
270,271,20
271,272,20
272,273,20
273,274,20
274,275,20
275,276,20
276,277,19
277,278,19
278,279,19
279,280,18
280,281,17
281,282,17
282,283,17
283,284,17
284,285,17
285,286,17
286,287,17
287,288,17
288,289,17
289,290,17
290,291,17
291,292,17
292,293,17
293,294,17
294,295,17
295,296,17
296,297,17
297,298,17
298,299,17
299,300,17
300,301,17
301,302,17
302,303,17
303,304,17
304,305,17
305,306,17
306,307,17
307,308,17
308,309,17
309,310,17
310,311,17
311,312,16
312,313,15
313,314,15
314,315,15
315,316,15
316,317,15
317,318,15
318,319,15
319,320,15
320,321,14
321,322,14
322,323,14
323,324,14
324,325,14
325,326,14
326,327,14
327,328,14
328,329,14
329,330,14
330,331,14
331,332,14
332,333,14
333,334,14
334,335,14
