,Window,Tuples
0,1,8302
1,2,5516
2,3,5334
3,4,5006
4,5,4541
5,6,3890
6,7,3501
7,8,3383
8,9,3295
9,10,3113
10,11,2822
11,12,2647
12,13,2563
13,14,2525
14,15,2442
15,16,2306
16,17,2198
17,18,2147
18,19,2104
19,20,2051
20,21,1960
21,22,1877
22,23,1807
23,24,1769
24,25,1730
25,26,1663
26,27,1603
27,28,1549
28,29,1527
29,30,1504
30,31,1459
31,32,1399
32,33,1357
33,34,1332
34,35,1301
35,36,1274
36,37,1224
37,38,1183
38,39,1154
39,40,1138
40,41,1122
41,42,1082
42,43,1052
43,44,1020
44,45,1004
45,46,980
46,47,943
47,48,916
48,49,896
49,50,875
50,51,859
51,52,836
52,53,815
53,54,788
54,55,774
55,56,760
56,57,745
57,58,722
58,59,702
59,60,693
60,61,681
61,62,666
62,63,643
63,64,617
64,65,599
65,66,590
66,67,580
67,68,568
68,69,557
69,70,550
70,71,540
71,72,535
72,73,520
73,74,503
74,75,490
75,76,486
76,77,473
77,78,467
78,79,453
79,80,444
80,81,435
81,82,427
82,83,419
83,84,410
84,85,400
85,86,393
86,87,390
87,88,380
88,89,372
89,90,369
90,91,359
91,92,358
92,93,355
93,94,340
94,95,335
95,96,331
96,97,323
97,98,316
98,99,309
99,100,300
100,101,296
101,102,293
102,103,286
103,104,281
104,105,277
105,106,275
106,107,265
107,108,260
108,109,253
109,110,247
110,111,240
111,112,237
112,113,233
113,114,230
114,115,224
115,116,222
116,117,217
117,118,214
118,119,209
119,120,207
120,121,200
121,122,199
122,123,195
123,124,191
124,125,186
125,126,183
126,127,178
127,128,173
128,129,169
129,130,168
130,131,164
131,132,160
132,133,157
133,134,154
134,135,150
135,136,147
136,137,143
137,138,139
138,139,137
139,140,135
140,141,133
141,142,132
142,143,132
143,144,128
144,145,127
145,146,122
146,147,120
147,148,119
148,149,117
149,150,114
150,151,112
151,152,110
152,153,110
153,154,108
154,155,105
155,156,103
156,157,101
157,158,100
158,159,98
159,160,97
160,161,95
161,162,94
162,163,92
163,164,91
164,165,89
165,166,88
166,167,87
167,168,86
168,169,85
169,170,84
170,171,84
171,172,84
172,173,83
173,174,83
174,175,81
175,176,81
176,177,79
177,178,75
178,179,72
179,180,72
180,181,71
181,182,71
182,183,69
183,184,68
184,185,68
185,186,68
186,187,68
187,188,66
188,189,64
189,190,63
190,191,63
191,192,63
192,193,62
193,194,62
194,195,61
195,196,61
196,197,61
197,198,61
198,199,59
199,200,59
200,201,59
201,202,59
202,203,59
203,204,59
204,205,58
205,206,58
206,207,57
207,208,57
208,209,56
209,210,56
210,211,56
211,212,56
212,213,56
213,214,56
214,215,56
215,216,56
216,217,56
217,218,56
218,219,55
219,220,55
220,221,55
221,222,54
222,223,54
223,224,54
224,225,53
225,226,53
226,227,53
227,228,53
228,229,53
229,230,53
230,231,52
231,232,50
232,233,50
233,234,50
234,235,49
235,236,49
236,237,49
237,238,49
238,239,48
239,240,48
240,241,47
241,242,47
242,243,47
243,244,47
244,245,47
245,246,46
246,247,46
247,248,46
248,249,46
249,250,46
250,251,46
251,252,46
252,253,46
253,254,45
254,255,45
255,256,45
256,257,44
257,258,44
258,259,44
259,260,44
260,261,44
261,262,44
262,263,44
263,264,44
264,265,44
265,266,44
266,267,44
267,268,44
268,269,44
269,270,44
270,271,44
271,272,44
272,273,43
273,274,43
274,275,43
275,276,43
276,277,42
277,278,42
278,279,42
279,280,41
280,281,40
281,282,40
282,283,40
283,284,40
284,285,40
285,286,40
286,287,40
287,288,40
288,289,40
289,290,40
290,291,40
291,292,40
292,293,40
293,294,40
294,295,40
295,296,40
296,297,40
297,298,40
298,299,40
299,300,40
300,301,40
301,302,40
302,303,40
303,304,40
304,305,40
305,306,40
306,307,40
307,308,40
308,309,40
309,310,40
310,311,40
311,312,39
312,313,38
313,314,38
314,315,38
315,316,38
316,317,38
317,318,38
318,319,38
319,320,38
320,321,37
321,322,37
322,323,37
323,324,37
324,325,37
325,326,37
326,327,37
327,328,37
328,329,37
329,330,37
330,331,37
331,332,37
332,333,37
333,334,37
334,335,37
335,336,37
336,337,37
337,338,37
338,339,37
339,340,37
340,341,37
341,342,37
342,343,37
343,344,37
344,345,37
345,346,37
346,347,37
347,348,37
348,349,37
349,350,37
350,351,37
351,352,37
352,353,37
353,354,37
354,355,37
355,356,37
356,357,37
357,358,37
358,359,37
359,360,37
360,361,37
361,362,37
362,363,37
363,364,37
364,365,37
365,366,37
366,367,37
367,368,37
368,369,37
369,370,37
370,371,37
371,372,37
372,373,37
373,374,37
374,375,37
375,376,37
376,377,37
377,378,37
378,379,37
379,380,37
380,381,37
381,382,37
382,383,37
383,384,37
384,385,37
385,386,37
386,387,37
387,388,37
388,389,37
389,390,37
390,391,37
391,392,37
392,393,37
393,394,37
394,395,37
395,396,37
396,397,37
397,398,37
398,399,37
399,400,37
400,401,37
401,402,37
402,403,37
403,404,37
404,405,37
405,406,37
406,407,37
407,408,37
408,409,37
409,410,37
410,411,37
411,412,37
412,413,37
413,414,37
414,415,37
415,416,37
416,417,37
417,418,37
418,419,37
419,420,37
420,421,37
421,422,37
422,423,37
423,424,37
424,425,37
425,426,37
426,427,37
427,428,37
428,429,37
429,430,37
430,431,37
431,432,37
432,433,37
433,434,37
434,435,37
435,436,37
436,437,37
437,438,37
438,439,37
439,440,37
440,441,37
441,442,37
442,443,37
443,444,37
444,445,37
445,446,37
446,447,37
447,448,37
448,449,37
449,450,37
450,451,37
451,452,37
452,453,37
453,454,37
454,455,37
455,456,37
456,457,37
457,458,37
458,459,37
459,460,37
460,461,37
461,462,37
462,463,37
463,464,37
464,465,37
465,466,37
466,467,37
467,468,37
468,469,37
469,470,37
470,471,37
471,472,37
472,473,37
473,474,37
474,475,37
475,476,37
476,477,37
477,478,37
478,479,37
479,480,37
480,481,37
481,482,37
482,483,37
483,484,37
484,485,37
485,486,37
486,487,37
487,488,37
488,489,37
489,490,37
490,491,37
491,492,37
492,493,37
493,494,37
494,495,37
495,496,37
496,497,37
497,498,37
498,499,37
