,Timestamp,Node,Subsystem,Message,Type,Tuple
0,1168468744,tg-c572,DEV,+BEGIN HARDWARE ERROR STATE AT CPE,computation,0
1,1168468745,tg-c572,DEV,"Component Info: Vendor Id =x x, Device Id =x x, Class Code =x x, Seg Bus Dev Func =x x x x x",computation,0
2,1168468745,tg-c572,DEV,"Component Info: Vendor Id =x x, Device Id =x x, Class Code =x x, Seg Bus Dev Func =x x x x x",computation,0
3,1168468745,tg-c572,DEV,+ Platform Specific Error Detail:,computation,0
4,1168468745,tg-c572,MEM,+ Mem Error Detail:,computation,0
5,1168468746,tg-c572,DEV,+BEGIN HARDWARE ERROR STATE AT CPE,computation,0
6,1168468746,tg-c572,DEV,+Platform PCI Component Error Info Section,computation,0
7,1168468746,tg-c572,DEV,+Platform Specific Error Info Section,computation,0
8,1168468746,tg-c572,DEV,"Component Info: Vendor Id =x x, Device Id =x x, Class Code =x x, Seg Bus Dev Func =x x x x x",computation,0
9,1168468746,tg-c572,DEV,"Component Info: Vendor Id =x x, Device Id =x x, Class Code =x x, Seg Bus Dev Func =x x x x x",computation,0
10,1168468746,tg-c572,DEV,"Component Info: Vendor Id =x x, Device Id =x x, Class Code =x x, Seg Bus Dev Func =x x x x x",computation,0
11,1168468746,tg-c572,DEV,"Component Info: Vendor Id =x x, Device Id =x x, Class Code =x x, Seg Bus Dev Func =x x x x x",computation,0
12,1168468746,tg-c572,DEV,+ Platform Specific Error Detail:,computation,0
13,1168468746,tg-c572,MEM,"Physical Address x, Address Mask: x, Node: x, Card: x, Module: x, Bank: x, Device: x, Row: x, Column: x,",computation,0
14,1168468746,tg-c572,MEM,"Physical Address x, Address Mask: x, Node: x, Card: x, Module: x, Bank: x, Device: x, Row: x, Column: x,",computation,0
15,1168468747,tg-c572,DEV,+BEGIN HARDWARE ERROR STATE AT CPE,computation,0
16,1168468747,tg-c572,DEV,+Platform PCI Component Error Info Section,computation,0
17,1168468747,tg-c572,DEV,"Component Info: Vendor Id =x x, Device Id =x x, Class Code =x x, Seg Bus Dev Func =x x x x x",computation,0
18,1168468747,tg-c572,DEV,"Component Info: Vendor Id =x x, Device Id =x x, Class Code =x x, Seg Bus Dev Func =x x x x x",computation,0
19,1168468747,tg-c572,DEV,"Component Info: Vendor Id =x x, Device Id =x x, Class Code =x x, Seg Bus Dev Func =x x x x x",computation,0
20,1168468747,tg-c572,DEV,+ Platform Specific Error Detail:,computation,0
21,1168468747,tg-c572,MEM,"Physical Address x, Address Mask: x, Node: x, Card: x, Module: x, Bank: x, Device: x, Row: x, Column: x,",computation,0
