,Window,Tuples
0,10,4283
1,20,3032
2,30,2436
3,40,1986
4,50,1646
5,60,1428
6,70,1136
7,80,1016
8,90,928
9,100,839
10,110,777
11,120,725
12,130,676
13,140,639
14,150,613
15,160,594
16,170,578
17,180,556
18,190,527
19,200,508
20,210,497
21,220,493
22,230,485
23,240,476
24,250,469
25,260,465
26,270,462
27,280,458
28,290,454
29,300,453
30,310,452
31,320,446
32,330,444
33,340,443
34,350,440
35,360,440
36,370,438
37,380,435
38,390,434
39,400,432
40,410,432
41,420,430
42,430,429
43,440,429
44,450,427
45,460,425
46,470,424
47,480,423
48,490,422
49,500,421
50,510,421
51,520,418
52,530,418
53,540,418
54,550,416
55,560,415
56,570,412
57,580,412
58,590,411
59,600,410
60,610,410
61,620,410
62,630,408
63,640,407
64,650,405
65,660,405
66,670,405
67,680,403
68,690,402
69,700,402
70,710,401
71,720,400
72,730,400
73,740,399
74,750,398
75,760,398
76,770,398
77,780,398
78,790,397
79,800,396
80,810,394
81,820,393
82,830,393
83,840,392
84,850,392
85,860,391
86,870,390
87,880,390
88,890,390
89,900,390
90,910,390
91,920,389
92,930,386
93,940,385
94,950,385
95,960,383
96,970,379
97,980,379
98,990,378
99,1000,378
100,1010,377
101,1020,376
102,1030,375
103,1040,375
104,1050,372
105,1060,372
106,1070,371
107,1080,371
108,1090,370
109,1100,370
110,1110,369
111,1120,369
112,1130,368
113,1140,366
114,1150,364
115,1160,363
116,1170,362
117,1180,361
118,1190,360
119,1200,359
120,1210,357
121,1220,357
122,1230,357
123,1240,357
124,1250,356
125,1260,353
126,1270,353
127,1280,352
128,1290,350
129,1300,350
130,1310,350
131,1320,349
132,1330,348
133,1340,347
134,1350,347
135,1360,345
136,1370,344
137,1380,342
138,1390,341
139,1400,341
140,1410,340
141,1420,340
142,1430,340
143,1440,340
144,1450,340
145,1460,340
146,1470,340
147,1480,333
148,1490,331
149,1500,331
150,1510,330
151,1520,329
152,1530,329
153,1540,328
154,1550,327
155,1560,327
156,1570,326
157,1580,326
158,1590,326
159,1600,326
160,1610,325
161,1620,325
162,1630,325
163,1640,325
164,1650,323
165,1660,323
166,1670,323
167,1680,323
168,1690,323
169,1700,323
170,1710,323
171,1720,323
172,1730,322
173,1740,321
174,1750,321
175,1760,321
176,1770,321
177,1780,320
178,1790,318
179,1800,316
180,1810,316
181,1820,316
182,1830,316
183,1840,316
184,1850,315
185,1860,315
186,1870,314
187,1880,314
188,1890,314
189,1900,314
190,1910,313
191,1920,313
192,1930,313
193,1940,311
194,1950,311
195,1960,310
196,1970,310
197,1980,310
198,1990,310
