,Window,Tuples
0,1,10622
1,2,6874
2,3,6509
3,4,6148
4,5,5641
5,6,4900
6,7,4500
7,8,4370
8,9,4268
9,10,4068
10,11,3752
11,12,3575
12,13,3487
13,14,3448
14,15,3343
15,16,3129
16,17,3017
17,18,2949
18,19,2895
19,20,2837
20,21,2742
21,22,2654
22,23,2580
23,24,2538
24,25,2495
25,26,2424
26,27,2362
27,28,2304
28,29,2275
29,30,2248
30,31,2154
31,32,2090
32,33,2043
33,34,2017
34,35,1982
35,36,1952
36,37,1903
37,38,1859
38,39,1828
39,40,1809
40,41,1790
41,42,1750
42,43,1720
43,44,1687
44,45,1662
45,46,1589
46,47,1549
47,48,1520
48,49,1500
49,50,1478
50,51,1460
51,52,1436
52,53,1412
53,54,1383
54,55,1366
55,56,1350
56,57,1335
57,58,1311
58,59,1290
59,60,1271
60,61,1126
61,62,1104
62,63,1081
63,64,1054
64,65,1036
65,66,1026
66,67,1016
67,68,1002
68,69,989
69,70,982
70,71,971
71,72,966
72,73,944
73,74,926
74,75,912
75,76,907
76,77,893
77,78,887
78,79,873
79,80,863
80,81,845
81,82,836
82,83,828
83,84,819
84,85,809
85,86,802
86,87,798
87,88,788
88,89,779
89,90,776
90,91,762
91,92,761
92,93,757
93,94,738
94,95,731
95,96,726
96,97,718
97,98,711
98,99,704
99,100,695
100,101,691
101,102,685
102,103,678
103,104,673
104,105,669
105,106,667
106,107,655
107,108,649
108,109,643
109,110,637
110,111,630
111,112,624
112,113,618
113,114,615
114,115,609
115,116,606
116,117,600
117,118,597
118,119,590
119,120,588
120,121,581
121,122,580
122,123,576
123,124,571
124,125,564
125,126,558
126,127,552
127,128,546
128,129,542
129,130,540
130,131,536
131,132,532
132,133,529
133,134,526
134,135,522
135,136,518
136,137,514
137,138,509
138,139,507
139,140,505
140,141,503
141,142,502
142,143,502
143,144,497
144,145,495
145,146,490
146,147,488
147,148,487
148,149,484
149,150,481
150,151,479
151,152,477
152,153,477
153,154,475
154,155,471
155,156,469
156,157,467
157,158,465
158,159,463
159,160,462
160,161,459
161,162,458
162,163,456
163,164,455
164,165,453
165,166,452
166,167,450
167,168,449
168,169,448
169,170,447
170,171,445
171,172,445
172,173,443
173,174,442
174,175,437
175,176,437
176,177,435
177,178,431
178,179,427
179,180,427
180,181,426
181,182,416
182,183,413
183,184,411
184,185,410
185,186,410
186,187,410
187,188,406
188,189,402
189,190,401
190,191,400
191,192,400
192,193,399
193,194,398
194,195,396
195,196,396
196,197,396
197,198,396
198,199,394
199,200,382
200,201,378
201,202,378
202,203,378
203,204,377
204,205,376
205,206,376
206,207,375
207,208,375
208,209,374
209,210,373
210,211,373
211,212,372
212,213,372
213,214,372
214,215,372
215,216,372
216,217,372
217,218,372
218,219,371
219,220,371
220,221,371
221,222,370
222,223,370
223,224,370
224,225,369
225,226,369
