,Timestamp,ID-Node,Rack,Midplane,Node,Card,Card type,Message,Tuple
0,1128641325,R57-M0-N4,R57,M0,N4,J18-U11,I-O,ciod: Error reading message prefix after LOGIN_MESSAGE on CioStream socket to 172.16.96.116:40067: Link has been severed,0
1,1128641325,R57-M0-N4,R57,M0,N4,J18-U01,I-O,ciod: Error reading message prefix after LOGIN_MESSAGE on CioStream socket to 172.16.96.116:40068: Link has been severed,0
2,1128641328,R57-M1-N4,R57,M1,N4,J18-U11,I-O,ciod: Error reading message prefix after LOGIN_MESSAGE on CioStream socket to 172.16.96.116:39811: Link has been severed,0
3,1128641328,R57-M1-N4,R57,M1,N4,J18-U01,I-O,ciod: Error reading message prefix after LOGIN_MESSAGE on CioStream socket to 172.16.96.116:39812: Link has been severed,0
4,1128641328,R57-M0-N0,R57,M0,N0,J18-U11,I-O,ciod: Error reading message prefix after LOGIN_MESSAGE on CioStream socket to 172.16.96.116:40069: Link has been severed,0
5,1128641328,R57-M0-N0,R57,M0,N0,J18-U01,I-O,ciod: Error reading message prefix after LOGIN_MESSAGE on CioStream socket to 172.16.96.116:40070: Link has been severed,0
6,1128641329,R57-M0-NC,R57,M0,NC,J18-U11,I-O,ciod: Error reading message prefix after LOGIN_MESSAGE on CioStream socket to 172.16.96.116:40063: Link has been severed,0
7,1128641329,R57-M0-NC,R57,M0,NC,J18-U01,I-O,ciod: Error reading message prefix after LOGIN_MESSAGE on CioStream socket to 172.16.96.116:40064: Link has been severed,0
8,1128641329,R57-M1-N0,R57,M1,N0,J18-U11,I-O,ciod: Error reading message prefix after LOGIN_MESSAGE on CioStream socket to 172.16.96.116:39813: Link has been severed,0
9,1128641329,R57-M1-N0,R57,M1,N0,J18-U01,I-O,ciod: Error reading message prefix after LOGIN_MESSAGE on CioStream socket to 172.16.96.116:39814: Link has been severed,0
10,1128641330,R57-M1-NC,R57,M1,NC,J18-U11,I-O,ciod: Error reading message prefix after LOGIN_MESSAGE on CioStream socket to 172.16.96.116:39807: Link has been severed,0
11,1128641330,R57-M1-NC,R57,M1,NC,J18-U01,I-O,ciod: Error reading message prefix after LOGIN_MESSAGE on CioStream socket to 172.16.96.116:39808: Link has been severed,0
12,1128641344,R57-M1-N8,R57,M1,N8,J18-U11,I-O,ciod: Error reading message prefix after LOGIN_MESSAGE on CioStream socket to 172.16.96.116:39809: Link has been severed,0
13,1128641344,R57-M1-N8,R57,M1,N8,J18-U01,I-O,ciod: Error reading message prefix after LOGIN_MESSAGE on CioStream socket to 172.16.96.116:39810: Link has been severed,0
14,1128641370,R57-M0-N8,R57,M0,N8,J18-U11,I-O,ciod: Error reading message prefix after LOGIN_MESSAGE on CioStream socket to 172.16.96.116:40065: Link has been severed,0
15,1128641370,R57-M0-N8,R57,M0,N8,J18-U01,I-O,ciod: Error reading message prefix after LOGIN_MESSAGE on CioStream socket to 172.16.96.116:40066: Link has been severed,0
16,1128970739,R57-M0-N4,R57,M0,N4,J18-U11,I-O,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:58019: Link has been severed,1
17,1128970740,R57-M0-N4,R57,M0,N4,J18-U01,I-O,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:58020: Link has been severed,1
18,1128970742,R57-M1-N4,R57,M1,N4,J18-U11,I-O,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:57763: Link has been severed,1
19,1128970742,R57-M1-N4,R57,M1,N4,J18-U01,I-O,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:57764: Link has been severed,1
20,1128970742,R57-M0-N0,R57,M0,N0,J18-U11,I-O,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:58021: Link has been severed,1
21,1128970742,R57-M0-N0,R57,M0,N0,J18-U01,I-O,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:58022: Link has been severed,1
