,Window,Tuples
0,10,681
1,20,518
2,30,484
3,40,474
4,50,472
5,60,471
6,70,468
7,80,443
8,90,428
9,100,427
10,110,425
11,120,421
12,130,418
13,140,413
14,150,412
15,160,410
16,170,410
17,180,407
18,190,405
19,200,403
20,210,401
21,220,401
22,230,400
23,240,399
24,250,395
25,260,394
26,270,389
27,280,388
28,290,387
29,300,385
30,310,384
31,320,382
32,330,381
33,340,381
34,350,377
35,360,375
36,370,375
37,380,374
38,390,374
39,400,371
40,410,369
41,420,369
42,430,367
43,440,366
44,450,363
45,460,362
46,470,361
47,480,360
48,490,358
49,500,356
50,510,354
51,520,354
52,530,354
53,540,353
54,550,353
55,560,353
56,570,351
57,580,350
58,590,350
59,600,348
60,610,347
61,620,346
62,630,346
63,640,346
64,650,345
65,660,344
66,670,344
67,680,342
68,690,342
69,700,342
70,710,341
71,720,341
72,730,341
73,740,341
74,750,341
75,760,340
76,770,338
77,780,338
78,790,335
