,Timestamp,ID-Node,Rack,Midplane,Node,Card,Card type,Message,Tuple
0,1128702415,R61-M1-N2,R61,M1,N2,J10-U11,computation,machine check interrupt (bit=0x06): L3 major internal error,0
1,1128702415,R61-M1-N2,R61,M1,N2,J10-U11,computation,instruction address: 0x0023d060,0
2,1128702416,R61-M1-N2,R61,M1,N2,J10-U11,computation,machine check status register: 0xa0000000,0
3,1128702416,R61-M1-N2,R61,M1,N2,J10-U11,computation,summary...........................1,0
4,1128702416,R61-M1-N2,R61,M1,N2,J10-U11,computation,instruction plb error.............0,0
5,1128702416,R61-M1-N2,R61,M1,N2,J10-U11,computation,data read plb error...............1,0
6,1128702417,R61-M1-N2,R61,M1,N2,J10-U11,computation,data write plb error..............0,0
7,1128702417,R61-M1-N2,R61,M1,N2,J10-U11,computation,tlb error.........................0,0
8,1128702417,R61-M1-N2,R61,M1,N2,J10-U11,computation,i-cache parity error..............0,0
9,1128702418,R61-M1-N2,R61,M1,N2,J10-U11,computation,d-cache search parity error.......0,0
10,1128702418,R61-M1-N2,R61,M1,N2,J10-U11,computation,d-cache flush parity error........0,0
11,1128702418,R61-M1-N2,R61,M1,N2,J10-U11,computation,imprecise machine check...........0,0
12,1128702418,R61-M1-N2,R61,M1,N2,J10-U11,computation,machine state register: 0x0002f900,0
13,1128702419,R61-M1-N2,R61,M1,N2,J10-U11,computation,wait state enable.................0,0
14,1128702419,R61-M1-N2,R61,M1,N2,J10-U11,computation,critical input interrupt enable...1,0
15,1128702419,R61-M1-N2,R61,M1,N2,J10-U11,computation,external input interrupt enable...1,0
16,1128702419,R61-M1-N2,R61,M1,N2,J10-U11,computation,problem state (0=sup,0
17,1128702420,R61-M1-N2,R61,M1,N2,J10-U11,computation,floating point instr. enabled.....1,0
18,1128702420,R61-M1-N2,R61,M1,N2,J10-U11,computation,machine check enable..............1,0
19,1128702420,R61-M1-N2,R61,M1,N2,J10-U11,computation,floating pt ex mode 0 enable......1,0
20,1128702429,R61-M1-N2,R61,M1,N2,J10-U11,computation,debug wait enable.................0,0
21,1128702442,R61-M1-N2,R61,M1,N2,J10-U11,computation,debug interrupt enable............0,0
22,1128702464,R61-M1-N2,R61,M1,N2,J10-U11,computation,floating pt ex mode 1 enable......1,1
23,1128719240,R06-M1-NE,R06,M1,NE,J11-U11,computation,machine check interrupt (bit=0x1d): L2 dcache unit data parity error,2
24,1128719240,R06-M1-NE,R06,M1,NE,J11-U11,computation,instruction address: 0x0023d1b8,2
25,1128719241,R06-M1-NE,R06,M1,NE,J11-U11,computation,machine check status register: 0x91800000,2
26,1128719241,R06-M1-NE,R06,M1,NE,J11-U11,computation,summary...........................1,2
27,1128719243,R06-M1-NE,R06,M1,NE,J11-U11,computation,instruction plb error.............0,2
28,1128719251,R06-M1-NE,R06,M1,NE,J11-U11,computation,data read plb error...............0,2
29,1128719270,R06-M1-NE,R06,M1,NE,J11-U11,computation,data write plb error..............1,2
30,1128719293,R06-M1-NE,R06,M1,NE,J11-U11,computation,tlb error.........................0,3
31,1128719316,R06-M1-NE,R06,M1,NE,J11-U11,computation,i-cache parity error..............0,4
32,1128747957,R23-M1-N0,R23,M1,N0,J17-U11,computation,machine check interrupt,5
33,1128747958,R23-M1-N0,R23,M1,N0,J17-U11,computation,instruction address: 0x0023d12c,5
34,1128747958,R23-M1-N0,R23,M1,N0,J17-U11,computation,machine check status register: 0x81000000,5
35,1128747958,R23-M1-N0,R23,M1,N0,J17-U11,computation,summary...........................1,5
36,1128747958,R23-M1-N0,R23,M1,N0,J17-U11,computation,instruction plb error.............0,5
37,1128747959,R23-M1-N0,R23,M1,N0,J17-U11,computation,data read plb error...............0,5
38,1128747959,R23-M1-N0,R23,M1,N0,J17-U11,computation,data write plb error..............0,5
39,1128747959,R23-M1-N0,R23,M1,N0,J17-U11,computation,tlb error.........................0,5
40,1128747959,R23-M1-N0,R23,M1,N0,J17-U11,computation,i-cache parity error..............0,5
41,1128747960,R23-M1-N0,R23,M1,N0,J17-U11,computation,d-cache search parity error.......0,5
42,1128747960,R23-M1-N0,R23,M1,N0,J17-U11,computation,d-cache flush parity error........1,5
43,1128747963,R23-M1-N0,R23,M1,N0,J17-U11,computation,imprecise machine check...........0,5
44,1128747995,R23-M1-N0,R23,M1,N0,J17-U11,computation,exception syndrome register: 0x01800000,6
45,1128748024,R23-M1-N0,R23,M1,N0,J17-U11,computation,machine check: i-fetch......................0,7
46,1128794394,R17-M0-N1,R17,M0,N1,J09-U11,computation,machine check interrupt,8
47,1128794394,R17-M0-N1,R17,M0,N1,J09-U11,computation,instruction address: 0x00016f20,8
48,1128794394,R17-M0-N1,R17,M0,N1,J09-U11,computation,machine check status register: 0x81000000,8
49,1128794395,R17-M0-N1,R17,M0,N1,J09-U11,computation,summary...........................1,8
50,1128794395,R17-M0-N1,R17,M0,N1,J09-U11,computation,instruction plb error.............0,8
51,1128794395,R17-M0-N1,R17,M0,N1,J09-U11,computation,data read plb error...............0,8
52,1128794395,R17-M0-N1,R17,M0,N1,J09-U11,computation,data write plb error..............0,8
53,1128794396,R17-M0-N1,R17,M0,N1,J09-U11,computation,tlb error.........................0,8
54,1128794396,R17-M0-N1,R17,M0,N1,J09-U11,computation,i-cache parity error..............0,8
55,1128794396,R17-M0-N1,R17,M0,N1,J09-U11,computation,d-cache search parity error.......0,8
56,1128794396,R17-M0-N1,R17,M0,N1,J09-U11,computation,d-cache flush parity error........1,8
57,1128794397,R17-M0-N1,R17,M0,N1,J09-U11,computation,imprecise machine check...........0,8
58,1128794397,R17-M0-N1,R17,M0,N1,J09-U11,computation,machine state register: 0x00003000,8
59,1128794397,R17-M0-N1,R17,M0,N1,J09-U11,computation,wait state enable.................0,8
60,1128794397,R17-M0-N1,R17,M0,N1,J09-U11,computation,critical input interrupt enable...0,8
61,1128794398,R17-M0-N1,R17,M0,N1,J09-U11,computation,external input interrupt enable...0,8
62,1128794398,R17-M0-N1,R17,M0,N1,J09-U11,computation,problem state (0=sup,8
63,1128794398,R17-M0-N1,R17,M0,N1,J09-U11,computation,floating point instr. enabled.....1,8
64,1128794398,R17-M0-N1,R17,M0,N1,J09-U11,computation,machine check enable..............1,8
65,1128794399,R17-M0-N1,R17,M0,N1,J09-U11,computation,floating pt ex mode 0 enable......0,8
66,1128794399,R17-M0-N1,R17,M0,N1,J09-U11,computation,debug wait enable.................0,8
67,1128794406,R17-M0-N1,R17,M0,N1,J09-U11,computation,debug interrupt enable............0,8
68,1128794424,R17-M0-N1,R17,M0,N1,J09-U11,computation,floating pt ex mode 1 enable......0,8
69,1128794452,R17-M0-N1,R17,M0,N1,J09-U11,computation,instruction address space.........0,9
70,1128800774,R23-M0-N2,R23,M0,N2,J14-U01,computation,machine check interrupt,10
71,1128800775,R23-M0-N2,R23,M0,N2,J14-U01,computation,instruction address: 0x001e4124,10
72,1128800775,R23-M0-N2,R23,M0,N2,J14-U01,computation,machine check status register: 0x81000000,10
73,1128800775,R23-M0-N2,R23,M0,N2,J14-U01,computation,summary...........................1,10
74,1128800775,R23-M0-N2,R23,M0,N2,J14-U01,computation,instruction plb error.............0,10
75,1128800776,R23-M0-N2,R23,M0,N2,J14-U01,computation,data read plb error...............0,10
76,1128800776,R23-M0-N2,R23,M0,N2,J14-U01,computation,data write plb error..............0,10
77,1128800776,R23-M0-N2,R23,M0,N2,J14-U01,computation,tlb error.........................0,10
78,1128800776,R23-M0-N2,R23,M0,N2,J14-U01,computation,i-cache parity error..............0,10
79,1128800777,R23-M0-N2,R23,M0,N2,J14-U01,computation,d-cache search parity error.......0,10
80,1128800777,R23-M0-N2,R23,M0,N2,J14-U01,computation,d-cache flush parity error........1,10
81,1128800777,R23-M0-N2,R23,M0,N2,J14-U01,computation,imprecise machine check...........0,10
82,1128800777,R23-M0-N2,R23,M0,N2,J14-U01,computation,machine state register: 0x0000f000,10
83,1128800778,R23-M0-N2,R23,M0,N2,J14-U01,computation,wait state enable.................0,10
84,1128800778,R23-M0-N2,R23,M0,N2,J14-U01,computation,critical input interrupt enable...0,10
85,1128800778,R23-M0-N2,R23,M0,N2,J14-U01,computation,external input interrupt enable...1,10
86,1128800787,R23-M0-N2,R23,M0,N2,J14-U01,computation,problem state (0=sup,10
87,1128800797,R23-M0-N2,R23,M0,N2,J14-U01,computation,floating point instr. enabled.....1,10
88,1128800817,R23-M0-N2,R23,M0,N2,J14-U01,computation,machine check enable..............1,11
89,1128800842,R23-M0-N2,R23,M0,N2,J14-U01,computation,floating pt ex mode 0 enable......0,12
